% Model:              normal_decel_full_geometry.mph
% Version:            COMSOL 5.2.1.262
% Date:               Jun 25 2017, 15:20
% Dimension:          3
% Nodes:              2541
% Expressions:        3
% Description:        Electric field, x component, Electric field, y component, Electric field, z component
% Length unit:        mm
% x                       y                        z                        es.Ex (V/m)              es.Ey (V/m)              es.Ez (V/m)
0                         0                        -5.461                   212.69861851394853       -318581.1841736926       6.902248800536654
0.1                       0                        -5.461                   -399.05476509590517      -316389.6415367288       -3594.320942608698
0.2                       0                        -5.461                   416.6479921532118        -303811.2203381213       1417.7823571189074
0.30000000000000004       0                        -5.461                   1720.238952203681        -289411.7820065135       1863.219686513461
0.4                       0                        -5.461                   -1056.9268702111412      -265600.89993693924      2074.1913166035592
0.5                       0                        -5.461                   -83.10137000263694       -236825.0691943618       885.2515650013527
0.6000000000000001        0                        -5.461                   -734.9559161752895       -202053.0887784104       -395.700890768725
0.7000000000000001        0                        -5.461                   -1117.414377363627       -159928.09332154805      224.59326148503408
0.8                       0                        -5.461                   -255.08377310270726      -111138.9341746309       123.01552007509451
0.9000000000000001        0                        -5.461                   -934.3350653504065       -58683.456110701816      322.19925955366034
1                         0                        -5.461                   -1031.3372349070269      -3.367063012774038E-10   -0.06911520414782668
0                         0.1                      -5.461                   399.99265747097525       -318191.08624569554      199.77331798605155
0.1                       0.1                      -5.461                   5930.964147562423        -315380.57522602705      -32.91352418993483
0.2                       0.1                      -5.461                   11770.821366193897       -306693.3921726281       441.3178972468886
0.30000000000000004       0.1                      -5.461                   19804.602496402862       -288419.693471525        637.0102979574476
0.4                       0.1                      -5.461                   25060.37071493087        -266172.83947877534      -211.9004168239626
0.5                       0.1                      -5.461                   32500.33254356934        -236802.5814119286       1655.1648527064608
0.6000000000000001        0.1                      -5.461                   39111.98944027173        -201428.24438920323      742.5973961070558
0.7000000000000001        0.1                      -5.461                   44034.298522192534       -159547.50547866477      -294.2497565785916
0.8                       0.1                      -5.461                   49460.28552785472        -111872.4183433083       899.7278204181616
0.9000000000000001        0.1                      -5.461                   55465.35006150384        -58606.677286959275      396.1055548694585
1                         0.1                      -5.461                   61332.402864702264       -2.9167168639213365E-10  4.110199264965429
0                         0.2                      -5.461                   -685.904402079992        -317213.793933499        -377.20251814456424
0.1                       0.2                      -5.461                   12772.16961332102        -312621.6449518548       2125.6912344336743
0.2                       0.2                      -5.461                   25587.1514832752         -304048.95830901456      -233.5358702616213
0.30000000000000004       0.2                      -5.461                   39928.787134912505       -288208.84839428833      649.1847405392327
0.4                       0.2                      -5.461                   51732.48923258684        -264772.8502344653       -223.8657069455694
0.5                       0.2                      -5.461                   64828.40800513355        -235457.18739105554      246.02745650522593
0.6000000000000001        0.2                      -5.461                   73820.16137776349        -199071.72284347462      -2156.7351070620934
0.7000000000000001        0.2                      -5.461                   89872.36220624679        -158415.57415609498      -18.54106424569818
0.8                       0.2                      -5.461                   100752.60573329675       -110719.47951279767      -485.36277799872823
0.9000000000000001        0.2                      -5.461                   112394.63024226818       -59133.92827635803       6.879570661883918
1                         0.2                      -5.461                   119849.92925061651       -9.16248164284572E-11    8.031759202563688
0                         0.30000000000000004      -5.461                   424.2230880193529        -313632.45977169025      187.49317765492015
0.1                       0.30000000000000004      -5.461                   17583.066771415964       -314039.6533163651       -3402.4279247676022
0.2                       0.30000000000000004      -5.461                   38686.98680944626        -297899.64566984586      1218.0934048185227
0.30000000000000004       0.30000000000000004      -5.461                   58526.846003677114       -284296.0171910294       -593.7644449325744
0.4                       0.30000000000000004      -5.461                   78029.68825068256        -262890.6402873483       -657.4681650459133
0.5                       0.30000000000000004      -5.461                   96861.06825572992        -233771.6984151122       -760.0335262230947
0.6000000000000001        0.30000000000000004      -5.461                   115833.99529011862       -198842.81197199484      41.31036713091453
0.7000000000000001        0.30000000000000004      -5.461                   133476.90825061675       -158319.39789335613      -401.84297329036053
0.8                       0.30000000000000004      -5.461                   152904.9198593526        -113294.30299898499      -508.79408111407247
0.9000000000000001        0.30000000000000004      -5.461                   166686.38139177716       -57578.18631808831       377.9090452186647
1                         0.30000000000000004      -5.461                   181161.911442144         -1.6123681279109465E-10  1.51994060354153
0                         0.4                      -5.461                   194.07996248294512       -312014.00842696504      -113.71537378812809
0.1                       0.4                      -5.461                   24979.399763465117       -309086.68150208594      -16.410439479746856
0.2                       0.4                      -5.461                   52972.36601870973        -300328.7892873792       1481.659713568748
0.30000000000000004       0.4                      -5.461                   78424.64869510918        -282403.8554353892       996.1944433894823
0.4                       0.4                      -5.461                   103052.35825513426       -260659.3917941288       -168.3492463055445
0.5                       0.4                      -5.461                   129136.46840600471       -231671.53717904753      1974.4204322076184
0.6000000000000001        0.4                      -5.461                   153425.08611356607       -197211.4655011939       383.1514431638643
0.7000000000000001        0.4                      -5.461                   178572.39120459507       -155435.96235225783      -538.3379034854297
0.8                       0.4                      -5.461                   201413.04376255965       -108913.56083132801      -670.115507455208
0.9000000000000001        0.4                      -5.461                   222272.8289425735        -57685.38551744484       103.1046466637672
1                         0.4                      -5.461                   239423.45776546453       -7.570716000172588E-10   2.008752457714964
0                         0.5                      -5.461                   974.2508175687253        -306672.5244931918       176.90633699309547
0.1                       0.5                      -5.461                   33980.116209125845       -303256.5003192109       -1664.9123308833805
0.2                       0.5                      -5.461                   63896.55643147211        -294071.2710963887       450.0323302850593
