% Model:              normal_decel_full_geometry.mph
% Version:            COMSOL 5.2.1.262
% Date:               Jun 25 2017, 20:25
% Dimension:          3
% Nodes:              2541
% Expressions:        3
% Description:        Electric field, x component, Electric field, y component, Electric field, z component
% Length unit:        mm
% x                       y                        z                        es.Ex (V/m)              es.Ey (V/m)              es.Ez (V/m)
0                         0                        -5.461                   1.141720173103454E7      9936.825365339639        -9374.62661933346
0.1                       0                        -5.461                   1.1435445657852665E7     4766.754259236157        -8566.174469469115
0.2                       0                        -5.461                   1.1522214833428673E7     464.2525451472029        7355.884174108505
0.30000000000000004       0                        -5.461                   1.1669717780112015E7     -71.56508809153456       -3904.107221032493
0.4                       0                        -5.461                   1.1873133476889621E7     1290.5766174457967       -1139.7893343856558
0.5                       0                        -5.461                   1.2157580533607088E7     530.6335819772212        -6203.371738155023
0.6000000000000001        0                        -5.461                   1.2509929086386563E7     -13272.073745310307      -18177.519983430393
0.7000000000000001        0                        -5.461                   1.2953154610044317E7     -1343.5291223239826      -402.3720517978072
0.8                       0                        -5.461                   1.3521927423167594E7     14421.944046476856       25181.88310431596
0.9000000000000001        0                        -5.461                   1.4208332468385026E7     -2128.244228133787       -16073.704560065642
1                         0                        -5.461                   1.5019763161381751E7     3.413393828362972E-8     1006.5514576924243
0                         0.1                      -5.461                   1.141207785922806E7      -883.0415881513618       639.5347811884712
0.1                       0.1                      -5.461                   1.1427300761730747E7     6789.6786058652215       3615.7963452804834
0.2                       0.1                      -5.461                   1.1514078419578362E7     2766.8501661119517       5286.370763690211
0.30000000000000004       0.1                      -5.461                   1.166609515079052E7      1928.1254411102273       -646.1392073745374
0.4                       0.1                      -5.461                   1.188289417767066E7      -669.0183688048273       1220.1467201076448
0.5                       0.1                      -5.461                   1.216336910343624E7      -2384.378124218434       -4010.102724271361
0.6000000000000001        0.1                      -5.461                   1.2514594731316172E7     5267.277793049812        4187.852726884186
0.7000000000000001        0.1                      -5.461                   1.2967670406262241E7     -8562.304339569062       16208.889865592122
0.8                       0.1                      -5.461                   1.3470165057882736E7     -22332.66308495775       -13308.682943470776
0.9000000000000001        0.1                      -5.461                   1.4211181567087602E7     9682.796893152254        -10993.513598648831
1                         0.1                      -5.461                   1.5019873208064795E7     2.5231229080337534E-8    1006.5588324467808
0                         0.2                      -5.461                   1.1415120408738226E7     -2429.5850847341353      4914.171576475725
0.1                       0.2                      -5.461                   1.143323997959635E7      -752.0572288539261       -2721.8071336541325
0.2                       0.2                      -5.461                   1.152357850261139E7      4332.0098443287425       6013.805622865446
0.30000000000000004       0.2                      -5.461                   1.167396111528486E7      5138.746854353696        4175.098683854565
0.4                       0.2                      -5.461                   1.1881609300628765E7     4110.06863733381         -3383.6476263569202
0.5                       0.2                      -5.461                   1.2158254576140435E7     3954.7971844952554       -1707.2889729528688
0.6000000000000001        0.2                      -5.461                   1.251191877797722E7      -5282.328657351434       -2811.747049640864
0.7000000000000001        0.2                      -5.461                   1.2960277360108433E7     2316.5128771287855       -3841.514806838706
0.8                       0.2                      -5.461                   1.3508194122786839E7     -4283.438146341592       9202.666975086555
0.9000000000000001        0.2                      -5.461                   1.4204440980815867E7     28146.061399464495       -3543.154467392713
1                         0.2                      -5.461                   1.5021494381137341E7     -4.4664075629890204E-9   1006.6674756427747
0                         0.30000000000000004      -5.461                   1.1416690479635572E7     1030.5571522851242       7617.223821737105
0.1                       0.30000000000000004      -5.461                   1.1425501573441861E7     -2703.24887783546        -3940.2072747889906
0.2                       0.30000000000000004      -5.461                   1.1518491612995546E7     7513.407039549449        11725.398346779868
0.30000000000000004       0.30000000000000004      -5.461                   1.16664603205535E7       7465.547599762678        -9762.940092124045
0.4                       0.30000000000000004      -5.461                   1.1875564433949335E7     9889.197859564796        -67.97693894989789
0.5                       0.30000000000000004      -5.461                   1.2149436719262697E7     2586.9058050932363       1269.5275840442628
0.6000000000000001        0.30000000000000004      -5.461                   1.2508636952065866E7     3795.224231169559        3746.38942857692
0.7000000000000001        0.30000000000000004      -5.461                   1.296034754273127E7      1978.4257999565452       -3555.788448512554
0.8                       0.30000000000000004      -5.461                   1.3504037044825422E7     67838.71995513141        46433.85384795815
0.9000000000000001        0.30000000000000004      -5.461                   1.4187048345667908E7     -17425.782758645713      -3631.025053501129
1                         0.30000000000000004      -5.461                   1.5025295539352179E7     -1.4891802580428892E-8   126.0615799244531
0                         0.4                      -5.461                   1.1416678517553942E7     5784.410928644822        5523.956863871812
0.1                       0.4                      -5.461                   1.1431878371564765E7     4545.317261693999        -1255.497279328294
0.2                       0.4                      -5.461                   1.1527364272054153E7     9467.219867975451        -10270.493009328842
